year	school_id	school_name	wins	losses	ties	total_games
2015	721	Air Force	10	3	0	13
2015	5	Akron	5	7	0	12
2015	8	Alabama	12	1	1	14
2015	27	Appalachian St.	7	5	0	12
2015	29	Arizona	10	3	1	14
2015	28	Arizona St.	10	3	0	13
2015	31	Arkansas	6	6	1	13
2015	30	Arkansas St.	7	5	1	13
2015	725	Army	4	8	0	12
2015	37	Auburn	8	4	1	13
2015	77	BYU	8	5	0	13
2015	47	Ball St.	5	7	0	12
2015	51	Baylor	11	1	1	13
2015	66	Boise St.	11	2	1	14
2015	67	Boston College	7	6	0	13
2015	71	Bowling Green	8	6	0	14
2015	86	Buffalo	5	6	0	11
2015	107	California	5	7	0	12
2015	129	Central Mich.	7	6	0	13
2015	458	Charlotte	5	6	0	11
2015	140	Cincinnati	9	4	0	13
2015	147	Clemson	9	3	1	13
2015	157	Colorado	2	10	0	12
2015	156	Colorado St.	10	3	0	13
2015	193	Duke	9	4	0	13
2015	196	East Carolina	8	4	1	13
2015	204	Eastern Mich.	2	10	0	12
2015	231	FIU	4	8	0	12
2015	229	Fla. Atlantic	3	9	0	12
2015	235	Florida	6	5	1	12
2015	234	Florida St.	13	0	1	14
2015	96	Fresno St.	6	8	0	14
2015	253	Ga. Southern	9	3	0	12
2015	257	Georgia	9	3	1	13
2015	254	Georgia St.	1	11	0	12
2015	255	Georgia Tech	10	3	1	14
2015	277	Hawaii	4	9	0	13
2015	288	Houston	7	5	1	13
2015	295	Idaho	1	10	0	11
2015	301	Illinois	6	7	0	13
2015	306	Indiana	4	8	0	12
2015	312	Iowa	7	5	1	13
2015	311	Iowa St.	2	10	0	12
2015	328	Kansas	3	9	0	12
2015	327	Kansas St.	9	3	1	13
2015	331	Kent St.	2	9	0	11
2015	334	Kentucky	5	7	0	12
2015	365	LSU	8	4	1	13
2015	671	La.-Lafayette	9	4	0	13
2015	498	La.-Monroe	4	8	0	12
2015	366	Louisiana Tech	9	5	0	14
2015	367	Louisville	9	3	1	13
2015	388	Marshall	13	1	0	14
2015	392	Maryland	7	5	1	13
2015	400	Massachusetts	3	9	0	12
2015	404	Memphis	10	3	0	13
2015	415	Miami (FL)	6	7	0	13
2015	414	Miami (OH)	2	10	0	12
2015	418	Michigan	5	7	0	12
2015	416	Michigan St.	10	2	1	13
2015	419	Middle Tenn.	6	6	0	12
2015	428	Minnesota	8	4	1	13
2015	430	Mississippi St.	10	2	1	13
2015	434	Missouri	10	3	1	14
2015	726	Navy	8	5	0	13
2015	463	Nebraska	9	4	0	13
2015	466	Nevada	7	6	0	13
2015	473	New Mexico	4	8	0	12
2015	472	New Mexico St.	2	10	0	12
2015	457	North Carolina	6	7	0	13
2015	490	North Carolina St.	8	5	0	13
2015	497	North Texas	4	8	0	12
2015	503	Northern Ill.	11	3	0	14
2015	509	Northwestern	5	7	0	12
2015	513	Notre Dame	7	5	1	13
2015	519	Ohio	6	6	0	12
2015	518	Ohio St.	12	1	1	14
2015	522	Oklahoma	8	4	1	13
2015	521	Oklahoma St.	6	6	1	13
2015	523	Old Dominion	6	6	0	12
2015	433	Ole Miss	9	3	1	13
2015	529	Oregon	12	1	1	14
2015	528	Oregon St.	5	7	0	12
2015	539	Penn St.	7	6	0	13
2015	545	Pittsburgh	6	6	1	13
2015	559	Purdue	3	9	0	12
2015	574	Rice	8	5	0	13
2015	587	Rutgers	8	5	0	13
2015	663	SMU	1	11	0	12
2015	626	San Diego St.	7	6	0	13
2015	630	San Jose St.	3	9	0	12
2015	646	South Ala.	6	7	0	13
2015	648	South Carolina	7	6	0	13
2015	651	South Fla.	4	8	0	12
2015	657	Southern California	9	4	0	13
2015	664	Southern Miss.	3	9	0	12
2015	674	Stanford	7	5	1	13
2015	688	Syracuse	3	9	0	12
2015	698	TCU	11	1	1	13
2015	690	Temple	6	6	0	12
2015	694	Tennessee	6	6	1	13
2015	703	Texas	6	6	1	13
2015	697	Texas A&M	7	5	1	13
2015	670	Texas St.	7	5	0	12
2015	700	Texas Tech	4	8	0	12
2015	709	Toledo	8	4	1	13
2015	716	Troy	3	9	0	12
2015	718	Tulane	3	9	0	12
2015	719	Tulsa	2	10	0	12
2015	9	UAB	6	6	0	12
2015	128	UCF	9	4	0	13
2015	110	UCLA	9	3	1	13
2015	164	UConn	2	10	0	12
2015	465	UNLV	2	11	0	13
2015	704	UTEP	7	6	0	13
2015	706	UTSA	4	8	0	12
2015	732	Utah	9	4	0	13
2015	731	Utah St.	10	4	0	14
2015	736	Vanderbilt	3	9	0	12
2015	746	Virginia	5	7	0	12
2015	742	Virginia Tech	7	6	0	13
2015	749	Wake Forest	3	9	0	12
2015	756	Washington	8	5	1	14
2015	754	Washington St.	3	9	0	12
2015	768	West Virginia	7	5	1	13
2015	772	Western Ky.	8	5	0	13
2015	774	Western Mich.	8	5	0	13
2015	796	Wisconsin	10	3	1	14
2015	811	Wyoming	4	8	0	12
2015	2	Abilene Christian	6	6	0	12
2015	6	Alabama A&M	4	8	0	12
2015	7	Alabama St.	7	5	0	12
2015	14	Albany (NY)	7	5	0	12
2015	17	Alcorn	10	3	0	13
2015	2678	Ark.-Pine Bluff	4	7	0	11
2015	43	Austin Peay	1	11	0	12
2015	61	Bethune-Cookman	9	3	0	12
2015	80	Brown	5	5	0	10
2015	81	Bryant	8	3	0	11
2015	83	Bucknell	8	3	0	11
2015	87	Butler	4	7	0	11
2015	90	Cal Poly	7	5	0	12
2015	115	Campbell	5	7	0	12
2015	1004	Central Ark.	6	6	0	12
2015	127	Central Conn. St.	3	9	0	12
2015	48	Charleston So.	8	4	0	12
2015	693	Chattanooga	10	4	0	14
2015	141	Citadel	5	7	0	12
2015	149	Coastal Caro.	12	2	0	14
2015	153	Colgate	5	7	0	12
2015	158	Columbia	0	10	0	10
2015	167	Cornell	1	9	0	10
2015	172	Dartmouth	8	2	0	10
2015	173	Davidson	1	11	0	12
2015	175	Dayton	8	3	0	11
2015	180	Delaware	6	6	0	12
2015	178	Delaware St.	2	10	0	12
2015	189	Drake	7	4	0	11
2015	194	Duquesne	6	6	0	12
2015	201	Eastern Ill.	5	7	0	12
2015	202	Eastern Ky.	9	4	0	13
