year	year_id	team_id	team_name	game_date	game_string	opponent_id	opponent_name	opponent_url	neutral_site	neutral_location	home_game	score_string	team_won	score	team_score	opponent_score	overtime	overtime_periods	game_id	game_url
2015	11980	4	Adrian	09/06/2014	@ Defiance	1050	Defiance	http://stats.ncaa.org/team/index/11980?org_id=1050	false		false	W 35 - 13	true	35 - 13	35	13	false		adrian-defiance#boxscore	http://stats.ncaa.orghttp://www.ncaa.com/game/football/d3/2014/09/06/adrian-defiance#boxscore
2015	11980	4	Adrian	09/13/2014	Carthage	121	Carthage	http://stats.ncaa.org/team/index/11980?org_id=121	false		true	W 40 - 14	true	40 - 14	40	14	false		carthage-adrian#boxscore	http://stats.ncaa.orghttp://www.ncaa.com/game/football/d3/2014/09/13/carthage-adrian#boxscore
2015	11980	4	Adrian	09/20/2014	@ Benedictine (IL)	296	Benedictine (IL)	http://stats.ncaa.org/team/index/11980?org_id=296	false		false	W 23 - 6	true	23 - 6	23	6	false		adrian-benedictine-il#boxscore	http://stats.ncaa.orghttp://www.ncaa.com/game/football/d3/2014/09/20/adrian-benedictine-il#boxscore
2015	11980	4	Adrian	10/04/2014	Olivet		Olivet		false		true	-								
2015	11980	4	Adrian	10/11/2014	@ Alma		Alma		false		false	-								
2015	11980	4	Adrian	10/18/2014	Albion		Albion		false		true	-								
2015	11980	4	Adrian	10/25/2014	Wis. Lutheran		Wis. Lutheran		false		true	-								
2015	11980	4	Adrian	11/01/2014	Hope		Hope		false		true	-								
2015	11980	4	Adrian	11/08/2014	@ Kalamazoo		Kalamazoo		false		false	-								
2015	11980	4	Adrian	11/15/2014	@ Trine		Trine		false		false	-								
2015	11980	15	Albion	09/06/2014	@ Wis.-Stevens Point	802	Wis.-Stevens Point	http://stats.ncaa.org/team/index/11980?org_id=802	false		false	L 31 - 42	false	31 - 42	31	42	false		albion-wis-stevens-point#boxscore	http://stats.ncaa.orghttp://www.ncaa.com/game/football/d3/2014/09/06/albion-wis-stevens-point#boxscore
2015	11980	15	Albion	09/13/2014	Ill. Wesleyan	300	Ill. Wesleyan	http://stats.ncaa.org/team/index/11980?org_id=300	false		true	L 28 - 35	false	28 - 35	28	35	false		ill-wesleyan-albion#boxscore	http://stats.ncaa.orghttp://www.ncaa.com/game/football/d3/2014/09/13/ill-wesleyan-albion#boxscore
2015	11980	15	Albion	09/20/2014	@ Concordia Wisconsin	1036	Concordia Wisconsin	http://stats.ncaa.org/team/index/11980?org_id=1036	false		false	W 57 - 20	true	57 - 20	57	20	false		albion-concordia-wisconsin#boxscore	http://stats.ncaa.orghttp://www.ncaa.com/game/football/d3/2014/09/20/albion-concordia-wisconsin#boxscore
2015	11980	15	Albion	10/04/2014	Hope		Hope		false		true	-								
2015	11980	15	Albion	10/11/2014	Kalamazoo		Kalamazoo		false		true	-								
2015	11980	15	Albion	10/18/2014	@ Adrian		Adrian		false		false	-								
2015	11980	15	Albion	10/25/2014	@ Trine		Trine		false		false	-								
2015	11980	15	Albion	11/01/2014	Olivet		Olivet		false		true	-								
2015	11980	15	Albion	11/08/2014	@ Alma		Alma		false		false	-								
2015	11980	15	Albion	11/15/2014	Aurora		Aurora		false		true	-								
2015	11980	16	Albright	09/05/2014	@ Kean	329	Kean	http://stats.ncaa.org/team/index/11980?org_id=329	false		false	W 25 - 14	true	25 - 14	25	14	false		albright-kean#boxscore	http://stats.ncaa.orghttp://www.ncaa.com/game/football/d3/2014/09/05/albright-kean#boxscore
2015	11980	16	Albright	09/13/2014	Lycoming	373	Lycoming	http://stats.ncaa.org/team/index/11980?org_id=373	false		true	L 0 - 26	false	0 - 26	0	26	false		lycoming-albright#boxscore	http://stats.ncaa.orghttp://www.ncaa.com/game/football/d3/2014/09/13/lycoming-albright#boxscore
2015	11980	16	Albright	09/20/2014	@ Widener	783	Widener	http://stats.ncaa.org/team/index/11980?org_id=783	false		false	L 23 - 41	false	23 - 41	23	41	false		albright-widener#boxscore	http://stats.ncaa.orghttp://www.ncaa.com/game/football/d3/2014/09/20/albright-widener#boxscore
2015	11980	16	Albright	09/27/2014	Stevenson		Stevenson		false		true	-								
2015	11980	16	Albright	10/04/2014	@ Delaware Valley		Delaware Valley		false		false	-								
2015	11980	16	Albright	10/11/2014	FDU-Florham		FDU-Florham		false		true	-								
2015	11980	16	Albright	10/25/2014	King's (PA)		King's (PA)		false		true	-								
2015	11980	16	Albright	11/01/2014	@ Wilkes		Wilkes		false		false	-								
2015	11980	16	Albright	11/08/2014	Misericordia		Misericordia		false		true	-								
2015	11980	16	Albright	11/15/2014	@ Lebanon Valley		Lebanon Valley		false		false	-								
2015	11980	19	Allegheny	09/06/2014	Thiel	707	Thiel	http://stats.ncaa.org/team/index/11980?org_id=707	false		true	L 14 - 28	false	14 - 28	14	28	false		thiel-allegheny#boxscore	http://stats.ncaa.orghttp://www.ncaa.com/game/football/d3/2014/09/06/thiel-allegheny#boxscore
2015	11980	19	Allegheny	09/20/2014	@ Hiram	281	Hiram	http://stats.ncaa.org/team/index/11980?org_id=281	false		false	W 24 - 21	true	24 - 21	24	21	false		allegheny-hiram#boxscore	http://stats.ncaa.orghttp://www.ncaa.com/game/football/d3/2014/09/20/allegheny-hiram#boxscore
2015	11980	19	Allegheny	09/27/2014	@ Wabash		Wabash		false		false	-								
2015	11980	19	Allegheny	10/04/2014	Ohio Wesleyan		Ohio Wesleyan		false		true	-								
2015	11980	19	Allegheny	10/11/2014	@ Wooster		Wooster		false		false	-								
2015	11980	19	Allegheny	10/18/2014	Oberlin		Oberlin		false		true	-								
2015	11980	19	Allegheny	10/25/2014	DePauw		DePauw		false		true	-								
2015	11980	19	Allegheny	11/01/2014	@ Kenyon		Kenyon		false		false	-								
2015	11980	19	Allegheny	11/08/2014	@ Denison		Denison		false		false	-								
2015	11980	19	Allegheny	11/15/2014	Wittenberg		Wittenberg		false		true	-								
2015	11980	21	Alma	09/06/2014	@ Heidelberg	278	Heidelberg	http://stats.ncaa.org/team/index/11980?org_id=278	false		false	L 7 - 72	false	7 - 72	7	72	false		alma-heidelberg#boxscore	http://stats.ncaa.orghttp://www.ncaa.com/game/football/d3/2014/09/06/alma-heidelberg#boxscore
2015	11980	21	Alma	09/13/2014	North Park	496	North Park	http://stats.ncaa.org/team/index/11980?org_id=496	false		true	W 31 - 7	true	31 - 7	31	7	false		north-park-alma#boxscore	http://stats.ncaa.orghttp://www.ncaa.com/game/football/d3/2014/09/13/north-park-alma#boxscore
2015	11980	21	Alma	09/20/2014	@ Concordia Chicago	160	Concordia Chicago	http://stats.ncaa.org/team/index/11980?org_id=160	false		false	W 24 - 21	true	24 - 21	24	21	false		alma-concordia-chicago#boxscore	http://stats.ncaa.orghttp://www.ncaa.com/game/football/d3/2014/09/20/alma-concordia-chicago#boxscore
2015	11980	21	Alma	10/04/2014	@ Trine		Trine		false		false	-								
2015	11980	21	Alma	10/11/2014	Adrian		Adrian		false		true	-								
2015	11980	21	Alma	10/18/2014	@ Kalamazoo		Kalamazoo		false		false	-								
2015	11980	21	Alma	10/25/2014	Hope		Hope		false		true	-								
2015	11980	21	Alma	11/01/2014	Lakeland		Lakeland		false		true	-								
2015	11980	21	Alma	11/08/2014	Albion		Albion		false		true	-								
2015	11980	21	Alma	11/15/2014	@ Olivet		Olivet		false		false	-								
