season	team_id	team_name	status	team_url	wins	losses	ties	win_percentage	points_for	points_against	net_points	touchdowns	home_record	road_record	division_record	division_win_percentage	conference_record	conference_win_percentage	nonconference_record	winning_streak	last_5_record
2000	TEN	Tennessee Titans	z	http://www.nfl.com/teams/profile?team=TEN	13	3	0	.813	346	191	155	38	7-1	6-2	8-2	.800	9-3	.750	4-0	4W	4-1
2000	BAL	Baltimore Ravens	y	http://www.nfl.com/teams/profile?team=BAL	12	4	0	.750	333	165	168	32	6-2	6-2	8-2	.800	10-3	.769	2-1	7W	5-0
2000	PIT	Pittsburgh Steelers		http://www.nfl.com/teams/profile?team=PIT	9	7	0	.563	321	255	66	35	4-4	5-3	5-5	.500	8-5	.615	1-2	2W	4-1
2000	JAC	Jacksonville Jaguars		http://www.nfl.com/teams/profile?team=JAC	7	9	0	.438	367	327	40	40	4-4	3-5	5-5	.500	5-7	.417	2-2	2L	3-2
2000	CIN	Cincinnati Bengals		http://www.nfl.com/teams/profile?team=CIN	4	12	0	.250	185	359	-174	21	3-5	1-7	2-8	.200	3-10	.231	1-2	1L	2-3
2000	CLE	Cleveland Browns		http://www.nfl.com/teams/profile?team=CLE	3	13	0	.188	161	419	-258	17	2-6	1-7	2-8	.200	3-10	.231	0-3	5L	0-5
2000	MIA	Miami Dolphins	z	http://www.nfl.com/teams/profile?team=MIA	11	5	0	.688	323	226	97	34	5-3	6-2	5-3	.625	9-3	.750	2-2	1W	3-2
2000	IND	Indianapolis Colts	y	http://www.nfl.com/teams/profile?team=IND	10	6	0	.625	429	326	103	50	6-2	4-4	5-3	.625	8-4	.667	2-2	3W	3-2
2000	NYJ	New York Jets		http://www.nfl.com/teams/profile?team=NYJ	9	7	0	.563	321	321	0	36	5-3	4-4	6-2	.750	6-6	.500	3-1	3L	2-3
2000	BUF	Buffalo Bills		http://www.nfl.com/teams/profile?team=BUF	8	8	0	.500	315	350	-35	34	5-3	3-5	2-6	.250	6-6	.500	2-2	1W	1-4
2000	NE	New England Patriots		http://www.nfl.com/teams/profile?team=NE	5	11	0	.313	276	338	-62	28	3-5	2-6	2-6	.250	5-7	.417	0-4	1L	2-3
2000	OAK	Oakland Raiders	z	http://www.nfl.com/teams/profile?team=OAK	12	4	0	.750	479	299	180	58	7-1	5-3	5-3	.625	8-4	.667	4-0	1W	3-2
