season	team_id	team_name	status	team_url	wins	losses	ties	win_percentage	points_for	points_against	net_points	touchdowns	home_record	road_record	division_record	division_win_percentage	conference_record	conference_win_percentage	nonconference_record	winning_streak	last_5_record
1987	CLE	Cleveland Browns		http://www.nfl.com/teams/profile?team=CLE	10	5	0	.667	390	239	151	47	5-2	5-3	5-1	.833	8-3	.727	2-2	3W	3-2
1987	TEN	Houston Oilers		http://www.nfl.com/teams/profile?team=TEN	9	6	0	.600	345	349	-4	38	5-2	4-4	5-1	.833	7-4	.636	2-2	2W	3-2
1987	PIT	Pittsburgh Steelers		http://www.nfl.com/teams/profile?team=PIT	8	7	0	.533	285	299	-14	31	4-3	4-4	2-4	.333	6-5	.545	2-2	2L	2-3
1987	CIN	Cincinnati Bengals		http://www.nfl.com/teams/profile?team=CIN	4	11	0	.267	285	370	-85	30	1-7	3-4	0-6	.000	3-9	.250	1-2	3L	1-4
1987	IND	Indianapolis Colts		http://www.nfl.com/teams/profile?team=IND	9	6	0	.600	300	238	62	31	4-4	5-2	5-3	.625	8-6	.571	1-0	2W	4-1
1987	NE	New England Patriots		http://www.nfl.com/teams/profile?team=NE	8	7	0	.533	320	293	27	39	5-3	3-4	6-2	.750	8-4	.667	0-3	3W	3-2
1987	MIA	Miami Dolphins		http://www.nfl.com/teams/profile?team=MIA	8	7	0	.533	362	335	27	47	4-3	4-4	2-6	.250	5-7	.417	3-0	1L	3-2
1987	BUF	Buffalo Bills		http://www.nfl.com/teams/profile?team=BUF	7	8	0	.467	270	305	-35	33	4-4	3-4	4-4	.500	6-6	.500	1-2	2L	2-3
1987	NYJ	New York Jets		http://www.nfl.com/teams/profile?team=NYJ	6	9	0	.400	334	360	-26	39	4-4	2-5	3-5	.375	6-5	.545	0-4	4L	1-4
1987	DEN	Denver Broncos		http://www.nfl.com/teams/profile?team=DEN	10	4	1	.700	379	288	91	45	7-1	3-3-1	7-1	.875	8-3	.727	2-1-1	2W	4-1
1987	SEA	Seattle Seahawks		http://www.nfl.com/teams/profile?team=SEA	9	6	0	.600	371	314	57	46	6-2	3-4	4-3	.571	5-6	.455	4-0	1L	2-3
1987	SD	San Diego Chargers		http://www.nfl.com/teams/profile?team=SD	8	7	0	.533	253	317	-64	29	4-3	4-4	3-4	.429	6-7	.462	2-0	6L	0-5
1987	OAK	Los Angeles Raiders		http://www.nfl.com/teams/profile?team=OAK	5	10	0	.333	301	289	12	35	3-5	2-5	2-6	.250	3-8	.273	2-2	3L	2-3
1987	KC	Kansas City Chiefs		http://www.nfl.com/teams/profile?team=KC	4	11	0	.267	273	388	-115	30	3-4	1-7	3-5	.375	3-9	.250	1-2	1W	3-2
1987	CHI	Chicago Bears		http://www.nfl.com/teams/profile?team=CHI	11	4	0	.733	356	282	74	42	6-2	5-2	7-0	1.000	9-2	.818	2-2	1W	3-2
1987	MIN	Minnesota Vikings		http://www.nfl.com/teams/profile?team=MIN	8	7	0	.533	336	335	1	42	5-3	3-4	3-5	.375	6-6	.500	2-1	1L	2-3
1987	GB	Green Bay Packers		http://www.nfl.com/teams/profile?team=GB	5	9	1	.367	255	300	-45	28	2-5-1	3-4	3-4	.429	4-7	.364	1-2-1	2L	1-4
1987	TB	Tampa Bay Buccaneers		http://www.nfl.com/teams/profile?team=TB	4	11	0	.267	286	360	-74	33	2-5	2-6	3-4	.429	4-9	.308	0-2	8L	0-5
1987	DET	Detroit Lions		http://www.nfl.com/teams/profile?team=DET	4	11	0	.267	269	384	-115	27	1-6	3-5	2-5	.286	4-7	.364	0-4	1W	2-3
1987	WAS	Washington Redskins		http://www.nfl.com/teams/profile?team=WAS	11	4	0	.733	379	285	94	47	6-1	5-3	7-1	.875	9-3	.750	2-1	1W	4-1
1987	PHI	Philadelphia Eagles		http://www.nfl.com/teams/profile?team=PHI	7	8	0	.467	337	380	-43	40	4-4	3-4	3-5	.375	4-7	.364	3-1	2W	3-2
1987	ARI	St. Louis Cardinals		http://www.nfl.com/teams/profile?team=ARI	7	8	0	.467	362	368	-6	46	4-3	3-5	3-5	.375	7-7	.500	0-1	1L	3-2
1987	DAL	Dallas Cowboys		http://www.nfl.com/teams/profile?team=DAL	7	8	0	.467	340	348	-8	38	3-4	4-4	4-4	.500	5-7	.417	2-1	2W	2-3
1987	NYG	New York Giants		http://www.nfl.com/teams/profile?team=NYG	6	9	0	.400	280	312	-32	32	5-3	1-6	3-5	.375	4-8	.333	2-1	2W	3-2
1987	SF	San Francisco 49ers		http://www.nfl.com/teams/profile?team=SF	13	2	0	.867	459	253	206	59	6-1	7-1	5-1	.833	10-1	.909	3-1	6W	5-0
1987	NO	New Orleans Saints		http://www.nfl.com/teams/profile?team=NO	12	3	0	.800	422	283	139	46	6-1	6-2	4-1	.800	8-3	.727	4-0	9W	5-0
1987	STL	Los Angeles Rams		http://www.nfl.com/teams/profile?team=STL	6	9	0	.400	317	361	-44	38	3-4	3-5	1-5	.167	5-7	.417	1-2	2L	3-2
1987	ATL	Atlanta Falcons		http://www.nfl.com/teams/profile?team=ATL	3	12	0	.200	205	436	-231	24	2-6	1-6	1-4	.200	3-8	.273	0-4	3L	1-4
