season	team_id	team_name	status	team_url	wins	losses	ties	win_percentage	points_for	points_against	net_points	touchdowns	home_record	road_record	division_record	division_win_percentage	conference_record	conference_win_percentage	nonconference_record	winning_streak	last_5_record
1939	NYG	New York Giants		http://www.nfl.com/teams/profile?team=NYG	9	1	1	.900	168	85	83	18	6-0	3-1-1	0-0	.000	7-0-1	1.000	2-1	4W	4-1
1939	GB	Green Bay Packers		http://www.nfl.com/teams/profile?team=GB	9	2	0	.818	233	153	80	31	4-1	5-1	0-0	.000	6-2	.750	3-0	4W	4-1
1939	WAS	Washington Redskins		http://www.nfl.com/teams/profile?team=WAS	8	2	1	.800	242	94	148	35	5-0-1	3-2	0-0	.000	6-1-1	.857	2-1	1L	4-1
1939	CHI	Chicago Bears		http://www.nfl.com/teams/profile?team=CHI	8	3	0	.727	298	157	141	42	4-1	4-2	0-0	.000	6-2	.750	2-1	4W	4-1
1939	DET	Detroit Lions		http://www.nfl.com/teams/profile?team=DET	6	5	0	.545	145	150	-5	18	4-2	2-3	0-0	.000	4-4	.500	2-1	4L	1-4
1939	STL	Cleveland Rams		http://www.nfl.com/teams/profile?team=STL	5	5	1	.500	195	164	31	28	3-2-1	2-3	0-0	.000	4-4	.500	1-1-1	1W	3-1-1
1939		Brooklyn Dodgers			4	6	1	.400	108	219	-111	12	4-3	0-3-1	0-0	.000	3-4-1	.429	1-2	3L	1-4
1939	PHI	Philadelphia Eagles		http://www.nfl.com/teams/profile?team=PHI	1	9	1	.100	105	200	-95	14	1-3-1	0-6	0-0	.000	1-6-1	.143	0-3	2L	1-4
1939	PIT	Pittsburgh Pirates		http://www.nfl.com/teams/profile?team=PIT	1	9	1	.100	114	216	-102	15	1-4	0-5-1	0-0	.000	1-7	.125	0-2-1	1W	1-3-1
1939	ARI	Chicago Cardinals		http://www.nfl.com/teams/profile?team=ARI	1	10	0	.091	84	254	-170	11	0-4	1-6	0-0	.000	0-8	.000	1-2	8L	0-5
