season	team_id	team_name	status	team_url	wins	losses	ties	win_percentage	points_for	points_against	net_points	touchdowns	home_record	road_record	division_record	division_win_percentage	conference_record	conference_win_percentage	nonconference_record	winning_streak	last_5_record
2006	NE	New England Patriots	z	http://www.nfl.com/teams/profile?team=NE	12	4	0	.750	385	237	148	46	5-3	7-1	4-2	.667	8-4	.667	4-0	3W	4-1
2006	NYJ	New York Jets	y	http://www.nfl.com/teams/profile?team=NYJ	10	6	0	.625	316	295	21	35	4-4	6-2	4-2	.667	7-5	.583	3-1	3W	4-1
2006	BUF	Buffalo Bills		http://www.nfl.com/teams/profile?team=BUF	7	9	0	.438	300	311	-11	33	4-4	3-5	3-3	.500	5-7	.417	2-2	2L	2-3
2006	MIA	Miami Dolphins		http://www.nfl.com/teams/profile?team=MIA	6	10	0	.375	260	283	-23	26	4-4	2-6	1-5	.167	3-9	.250	3-1	3L	1-4
2006	BAL	Baltimore Ravens	z	http://www.nfl.com/teams/profile?team=BAL	13	3	0	.813	353	201	152	38	7-1	6-2	5-1	.833	10-2	.833	3-1	4W	4-1
2006	PIT	Pittsburgh Steelers		http://www.nfl.com/teams/profile?team=PIT	8	8	0	.500	353	315	38	42	5-3	3-5	3-3	.500	5-7	.417	3-1	1W	4-1
2006	CIN	Cincinnati Bengals		http://www.nfl.com/teams/profile?team=CIN	8	8	0	.500	373	331	42	43	4-4	4-4	4-2	.667	6-6	.500	2-2	3L	2-3
2006	CLE	Cleveland Browns		http://www.nfl.com/teams/profile?team=CLE	4	12	0	.250	238	356	-118	25	2-6	2-6	0-6	.000	3-9	.250	1-3	4L	1-4
2006	IND	Indianapolis Colts	z	http://www.nfl.com/teams/profile?team=IND	12	4	0	.750	427	360	67	50	8-0	4-4	3-3	.500	9-3	.750	3-1	1W	2-3
2006	TEN	Tennessee Titans		http://www.nfl.com/teams/profile?team=TEN	8	8	0	.500	324	400	-76	36	4-4	4-4	4-2	.667	5-7	.417	3-1	1L	4-1
2006	JAC	Jacksonville Jaguars		http://www.nfl.com/teams/profile?team=JAC	8	8	0	.500	371	274	97	42	6-2	2-6	2-4	.333	5-7	.417	3-1	3L	2-3
2006	HOU	Houston Texans		http://www.nfl.com/teams/profile?team=HOU	6	10	0	.375	267	366	-99	30	4-4	2-6	3-3	.500	6-6	.500	0-4	2W	3-2
2006	SD	San Diego Chargers	*	http://www.nfl.com/teams/profile?team=SD	14	2	0	.875	492	303	189	59	8-0	6-2	5-1	.833	10-2	.833	4-0	10W	5-0
2006	DEN	Denver Broncos		http://www.nfl.com/teams/profile?team=DEN	9	7	0	.563	319	305	14	34	4-4	5-3	3-3	.500	8-4	.667	1-3	1L	2-3
2006	KC	Kansas City Chiefs	y	http://www.nfl.com/teams/profile?team=KC	9	7	0	.563	331	315	16	37	6-2	3-5	4-2	.667	5-7	.417	4-0	2W	2-3
2006	OAK	Oakland Raiders		http://www.nfl.com/teams/profile?team=OAK	2	14	0	.125	168	332	-164	16	2-6	0-8	0-6	.000	1-11	.083	1-3	9L	0-5
2006	PHI	Philadelphia Eagles	z	http://www.nfl.com/teams/profile?team=PHI	10	6	0	.625	398	328	70	49	5-3	5-3	5-1	.833	9-3	.750	1-3	5W	5-0
2006	DAL	Dallas Cowboys	y	http://www.nfl.com/teams/profile?team=DAL	9	7	0	.563	425	350	75	52	4-4	5-3	2-4	.333	6-6	.500	3-1	2L	2-3
2006	NYG	New York Giants	y	http://www.nfl.com/teams/profile?team=NYG	8	8	0	.500	355	362	-7	41	3-5	5-3	4-2	.667	7-5	.583	1-3	1W	2-3
2006	WAS	Washington Redskins		http://www.nfl.com/teams/profile?team=WAS	5	11	0	.313	307	376	-69	34	3-5	2-6	1-5	.167	3-9	.250	2-2	2L	1-4
2006	CHI	Chicago Bears	*	http://www.nfl.com/teams/profile?team=CHI	13	3	0	.813	427	255	172	47	6-2	7-1	5-1	.833	11-1	.917	2-2	1L	4-1
2006	GB	Green Bay Packers		http://www.nfl.com/teams/profile?team=GB	8	8	0	.500	301	366	-65	32	3-5	5-3	5-1	.833	7-5	.583	1-3	4W	4-1
2006	MIN	Minnesota Vikings		http://www.nfl.com/teams/profile?team=MIN	6	10	0	.375	282	327	-45	32	3-5	3-5	2-4	.333	6-6	.500	0-4	3L	1-4
2006	DET	Detroit Lions		http://www.nfl.com/teams/profile?team=DET	3	13	0	.188	305	398	-93	31	2-6	1-7	0-6	.000	2-10	.167	1-3	1W	1-4
2006	NO	New Orleans Saints	z	http://www.nfl.com/teams/profile?team=NO	10	6	0	.625	413	322	91	49	4-4	6-2	4-2	.667	9-3	.750	1-3	1L	3-2
2006	CAR	Carolina Panthers		http://www.nfl.com/teams/profile?team=CAR	8	8	0	.500	270	305	-35	28	4-4	4-4	5-1	.833	6-6	.500	2-2	2W	2-3
2006	ATL	Atlanta Falcons		http://www.nfl.com/teams/profile?team=ATL	7	9	0	.438	292	328	-36	32	3-5	4-4	3-3	.500	5-7	.417	2-2	3L	2-3
2006	TB	Tampa Bay Buccaneers		http://www.nfl.com/teams/profile?team=TB	4	12	0	.250	211	353	-142	23	3-5	1-7	0-6	.000	2-10	.167	2-2	1L	1-4
2006	SEA	Seattle Seahawks	z	http://www.nfl.com/teams/profile?team=SEA	9	7	0	.563	335	341	-6	37	5-3	4-4	3-3	.500	7-5	.583	2-2	1W	2-3
2006	STL	St. Louis Rams		http://www.nfl.com/teams/profile?team=STL	8	8	0	.500	367	381	-14	39	4-4	4-4	2-4	.333	6-6	.500	2-2	3W	3-2
2006	SF	San Francisco 49ers		http://www.nfl.com/teams/profile?team=SF	7	9	0	.438	298	412	-114	30	4-4	3-5	3-3	.500	5-7	.417	2-2	1W	2-3
2006	ARI	Arizona Cardinals		http://www.nfl.com/teams/profile?team=ARI	5	11	0	.313	314	389	-75	33	3-5	2-6	4-2	.667	5-7	.417	0-4	1L	3-2
