season	team_id	team_name	status	team_url	wins	losses	ties	win_percentage	points_for	points_against	net_points	touchdowns	home_record	road_record	division_record	division_win_percentage	conference_record	conference_win_percentage	nonconference_record	winning_streak	last_5_record
1931	GB	Green Bay Packers		http://www.nfl.com/teams/profile?team=GB	12	2	0	.857	291	87	204	44	8-0	4-2	0-0	.000	0-0	.000	12-2	1L	3-2
1931	DET	Portsmouth Spartans		http://www.nfl.com/teams/profile?team=DET	11	3	0	.786	175	77	98	26	8-0	3-3	0-0	.000	0-0	.000	11-3	1W	3-2
1931	CHI	Chicago Bears		http://www.nfl.com/teams/profile?team=CHI	8	5	0	.615	145	92	53	22	6-3	2-2	0-0	.000	0-0	.000	8-5	1L	3-2
1931	ARI	Chicago Cardinals		http://www.nfl.com/teams/profile?team=ARI	5	4	0	.556	120	128	-8	17	3-0	2-4	0-0	.000	0-0	.000	5-4	1W	4-1
1931	NYG	New York Giants		http://www.nfl.com/teams/profile?team=NYG	7	6	1	.538	154	100	54	23	4-2-1	3-4	0-0	.000	0-0	.000	7-6-1	2W	2-2-1
1931		Providence Steam Roller			4	4	3	.500	78	127	-49	12	3-3-1	1-1-2	0-0	.000	0-0	.000	4-4-3	1T	3-1-1
1931		Staten Island Stapletons			4	6	1	.400	79	118	-39	11	4-1-1	0-5	0-0	.000	0-0	.000	4-6-1	2W	2-3
1931		Cleveland Indians			2	8	0	.200	45	137	-92	7	1-1	1-7	0-0	.000	0-0	.000	2-8	5L	0-5
1931		Brooklyn Dodgers			2	12	0	.143	64	199	-135	10	1-5	1-7	0-0	.000	0-0	.000	2-12	8L	0-5
1931		Frankford Yellow Jackets			1	6	1	.143	13	99	-86	2	0-3	1-3-1	0-0	.000	0-0	.000	1-6-1	2L	1-4
