season	team_id	team_name	status	team_url	wins	losses	ties	win_percentage	points_for	points_against	net_points	touchdowns	home_record	road_record	division_record	division_win_percentage	conference_record	conference_win_percentage	nonconference_record	winning_streak	last_5_record
1964	BUF	Buffalo Bills		http://www.nfl.com/teams/profile?team=BUF	12	2	0	.857	400	242	158	48	6-1	6-1	0-0	.000	5-1	.833	7-1	2W	3-2
1964	IND	Baltimore Colts		http://www.nfl.com/teams/profile?team=IND	12	2	0	.857	428	225	203	54	7-1	5-1	0-0	.000	10-2	.833	2-0	1W	4-1
1964	NE	Boston Patriots		http://www.nfl.com/teams/profile?team=NE	10	3	1	.769	365	297	68	41	4-2-1	6-1	0-0	.000	4-2	.667	6-1-1	1L	4-1
1964	CLE	Cleveland Browns		http://www.nfl.com/teams/profile?team=CLE	10	3	1	.769	415	293	122	50	5-1-1	5-2	0-0	.000	9-2-1	.818	1-1	1W	3-2
1964	ARI	St. Louis Cardinals		http://www.nfl.com/teams/profile?team=ARI	9	3	2	.750	357	331	26	40	4-1-1	5-2-1	0-0	.000	8-2-2	.800	1-1	4W	4-0-1
1964	GB	Green Bay Packers		http://www.nfl.com/teams/profile?team=GB	8	5	1	.615	342	245	97	44	4-3	4-2-1	0-0	.000	6-5-1	.545	2-0	1T	3-1-1
1964	MIN	Minnesota Vikings		http://www.nfl.com/teams/profile?team=MIN	8	5	1	.615	355	296	59	42	4-3	4-2-1	0-0	.000	6-5-1	.545	2-0	3W	3-1-1
1964	SD	San Diego Chargers		http://www.nfl.com/teams/profile?team=SD	8	5	1	.615	341	300	41	44	4-3	4-2-1	0-0	.000	4-2	.667	4-3-1	2L	2-3
1964	DET	Detroit Lions		http://www.nfl.com/teams/profile?team=DET	7	5	2	.583	280	260	20	34	3-3-1	4-2-1	0-0	.000	6-4-2	.600	1-1	2W	2-2-1
1964	KC	Kansas City Chiefs		http://www.nfl.com/teams/profile?team=KC	7	7	0	.500	366	306	60	49	4-3	3-4	0-0	.000	4-2	.667	3-5	2W	3-2
1964	WAS	Washington Redskins		http://www.nfl.com/teams/profile?team=WAS	6	8	0	.429	307	305	2	39	4-3	2-5	0-0	.000	5-7	.417	1-1	2L	3-2
1964	PHI	Philadelphia Eagles		http://www.nfl.com/teams/profile?team=PHI	6	8	0	.429	312	313	-1	38	3-4	3-4	0-0	.000	6-6	.500	0-2	1L	2-3
1964	OAK	Oakland Raiders		http://www.nfl.com/teams/profile?team=OAK	5	7	2	.417	303	350	-47	37	5-2	0-5-2	0-0	.000	2-3-1	.400	3-4-1	2W	4-0-1
1964	STL	Los Angeles Rams		http://www.nfl.com/teams/profile?team=STL	5	7	2	.417	283	339	-56	33	3-2-2	2-5	0-0	.000	3-7-2	.300	2-0	1T	0-4-1
1964	DAL	Dallas Cowboys		http://www.nfl.com/teams/profile?team=DAL	5	8	1	.385	250	289	-39	30	2-4-1	3-4	0-0	.000	4-7-1	.364	1-1	1W	1-4
1964	NYJ	New York Jets		http://www.nfl.com/teams/profile?team=NYJ	5	8	1	.385	278	315	-37	34	5-1-1	0-7	0-0	.000	2-4	.333	3-4-1	3L	1-4
1964	CHI	Chicago Bears		http://www.nfl.com/teams/profile?team=CHI	5	9	0	.357	260	379	-119	32	2-5	3-4	0-0	.000	5-7	.417	0-2	2L	3-2
1964	PIT	Pittsburgh Steelers		http://www.nfl.com/teams/profile?team=PIT	5	9	0	.357	253	315	-62	31	2-5	3-4	0-0	.000	5-7	.417	0-2	1L	2-3
1964	SF	San Francisco 49ers		http://www.nfl.com/teams/profile?team=SF	4	10	0	.286	236	330	-94	30	3-4	1-6	0-0	.000	3-9	.250	1-1	1L	2-3
1964	TEN	Houston Oilers		http://www.nfl.com/teams/profile?team=TEN	4	10	0	.286	310	355	-45	39	3-4	1-6	0-0	.000	1-5	.167	3-5	2W	2-3
1964	NYG	New York Giants		http://www.nfl.com/teams/profile?team=NYG	2	10	2	.167	241	399	-158	31	2-5	0-5-2	0-0	.000	2-8-2	.200	0-2	4L	0-4-1
1964	DEN	Denver Broncos		http://www.nfl.com/teams/profile?team=DEN	2	11	1	.154	240	438	-198	28	2-4-1	0-7	0-0	.000	1-4-1	.200	1-7	2L	1-3-1
