1	Atlantic Coast Conference	acc	http://www.sports-reference.com/cfb/conferences/acc/	1953	2015	3166	2968	87	.516	103	113	2	.477	3.17	2.78	121	W-L-T adjusted to 3137-2968-87 by NCAA.
2	American Athletic Conference	american	http://www.sports-reference.com/cfb/conferences/american/	2013	2015	124	138	0	.473	4	5	0	.444	-4.35	-3.29	3	
3	Big 12 Conference	big-12	http://www.sports-reference.com/cfb/conferences/big-12/	1996	2015	1558	1168	0	.572	67	71	0	.486	6.01	3.40	75	W-L-T adjusted to 1560-1166 by NCAA.
4	Big Ten Conference	big-ten	http://www.sports-reference.com/cfb/conferences/big-ten/	1896	2015	6313	4852	394	.563	116	140	1	.453	7.76	5.26	246	W-L-T adjusted to 6301-4851-394 by NCAA.
5	Conference USA	cusa	http://www.sports-reference.com/cfb/conferences/cusa/	1996	2015	1170	1317	0	.470	42	46	0	.477	-4.21	-2.89	12	
6	Independent	independent	http://www.sports-reference.com/cfb/conferences/independent/	1869	2015	20761	15358	1809	.571	134	128	13	.511	1.61	-1.04	271	W-L-T adjusted to 20773-15348-1807 by NCAA.
7	Mid-American Conference	mac	http://www.sports-reference.com/cfb/conferences/mac/	1962	2015	2843	3099	82	.479	35	49	0	.417	-8.40	-7.36	14	W-L-T adjusted to 2847-3095-82 by NCAA.
8	Mountain West Conference	mwc	http://www.sports-reference.com/cfb/conferences/mwc/	1999	2015	898	876	0	.506	36	31	0	.537	-1.56	-1.58	19	
9	Pacific-12 Conference	pac-12	http://www.sports-reference.com/cfb/conferences/pac-12/	1916	2015	5045	4088	306	.551	131	113	5	.536	5.91	4.11	185	W-L-T adjusted to 5029-4086-306 by NCAA.
10	Southeastern Conference	sec	http://www.sports-reference.com/cfb/conferences/sec/	1933	2015	5963	4133	293	.588	227	170	9	.570	8.20	5.05	311	W-L-T adjusted to 5931-4148-289 by NCAA.
11	Sun Belt Conference	sun-belt	http://www.sports-reference.com/cfb/conferences/sun-belt/	2001	2015	600	869	0	.408	13	15	0	.464	-9.70	-5.90	0	W-L-T adjusted to 590-869 by NCAA.
12	Big East Conference	big-east	http://www.sports-reference.com/cfb/conferences/big-east/	1991	2012	1160	936	7	.553	56	42	0	.571	3.09	1.25	51	
13	Western Athletic Conference	wac	http://www.sports-reference.com/cfb/conferences/wac/	1962	2012	2569	2671	43	.490	48	65	1	.425	-2.38	-1.83	43	W-L-T adjusted to 2568-2662-43 by NCAA.
14	Big West Conference	big-west	http://www.sports-reference.com/cfb/conferences/big-west/	1969	2000	1119	1336	24	.456	14	8	1	.630	-8.37	-6.48	0	W-L-T adjusted to 1117-1338-24 by NCAA.
15	Big Eight Conference	big-8	http://www.sports-reference.com/cfb/conferences/big-8/	1907	1995	3265	2796	293	.537	63	64	1	.496	4.01	2.71	117	W-L-T adjusted to 3268-2795-291 by NCAA.
16	Southwest Conference	swc	http://www.sports-reference.com/cfb/conferences/swc/	1914	1995	3478	2796	279	.552	64	81	8	.444	5.95	3.93	122	W-L-T adjusted to 3479-2793-278 by NCAA.
17	Missouri Valley Conference	mvc	http://www.sports-reference.com/cfb/conferences/mvc/	1928	1985	1557	1696	122	.479	9	11	1	.452	-6.20	-5.50	8	W-L-T adjusted to 1558-1695-122 by NCAA.
18	Ivy Group	ivy	http://www.sports-reference.com/cfb/conferences/ivy/	1956	1981	944	892	48	.514	0	0	0		-7.83	-8.38	2	
19	Southern Conference	southern	http://www.sports-reference.com/cfb/conferences/southern/	1921	1981	3686	3469	404	.514	15	18	2	.457	-2.04	-2.57	36	
20	Southland Conference	southland	http://www.sports-reference.com/cfb/conferences/southland/	1975	1981	232	222	12	.511	2	3	0	.400	-5.36	-6.03	0	
21	Southwestern Athletic Conference	swac	http://www.sports-reference.com/cfb/conferences/swac/	1977	1977	38	36	2	.513	0	0	0		-9.11	-9.97	0	
22	Border Intercollegiate Athletic Association	border	http://www.sports-reference.com/cfb/conferences/border/	1931	1961	992	921	91	.518	14	16	3	.470	-7.36	-7.92	4	
23	Skyline Conference	skyline	http://www.sports-reference.com/cfb/conferences/skyline/	1938	1961	740	766	78	.492	5	6	0	.455	-6.65	-6.47	3	
24	Rocky Mountain Conference	rocky-mountain	http://www.sports-reference.com/cfb/conferences/rocky-mountain/	1910	1937	1038	936	116	.524	0	1	0	.000	-4.53	-5.08	1	
