   1  Alabama              A  = 100.21   12   1   81.58(   4)    2   1  |    9   1  |   99.12    2 |   99.78    1 |  102.06    1
   2  TCU                  A  =  96.92   11   1   72.04(  44)    0   1  |    3   1  |   97.21    3 |   96.76    2 |   96.07    5
   3  Ohio State           A  =  95.93   12   1   70.53(  53)    1   0  |    2   0  |   95.00    5 |   95.33    4 |   97.99    3
   4  Oregon               A  =  95.70   12   1   72.95(  34)    1   0  |    4   1  |   94.91    6 |   94.51    5 |   99.73    2
   5  Mississippi          A  =  95.67    9   3   80.35(   6)    2   1  |    4   3  |   99.61    1 |   95.42    3 |   91.96    8
   6  Mississippi State    A  =  94.33   10   2   75.67(  21)    1   2  |    4   2  |   96.29    4 |   93.05    7 |   94.46    7
   7  Georgia              A  =  92.99    9   3   76.88(  15)    1   0  |    5   2  |   94.66    7 |   94.49    6 |   87.90   11
   8  Baylor               A  =  92.90   11   1   69.93(  58)    1   0  |    3   1  |   92.05    9 |   92.19    9 |   95.13    6
   9  Auburn               A  =  92.36    8   4   84.45(   1)    1   3  |    4   4  |   92.94    8 |   92.59    8 |   90.32    9
  10  Michigan State       A  =  91.34   10   2   69.55(  60)    0   2  |    1   2  |   91.45   10 |   91.48   10 |   90.00   10
  11  LSU                  A  =  89.70    8   4   82.05(   3)    1   3  |    4   4  |   90.61   12 |   89.72   12 |   87.76   13
  12  Arkansas             A  =  88.52    6   6   83.34(   2)    1   4  |    2   6  |   88.98   13 |   90.47   11 |   83.60   21
  13  Kansas State         A  =  88.46    9   3   74.43(  25)    0   3  |    2   3  |   88.18   14 |   88.47   14 |   87.85   12
  14  Oklahoma             A  =  87.95    8   4   75.02(  24)    0   2  |    2   3  |   91.12   11 |   88.64   13 |   82.91   23
  15  Florida State        A  =  86.00   13   0   72.78(  36)    0   0  |    4   0  |   82.85   19 |   84.57   16 |   97.48    4
  16  Georgia Tech         A  =  84.11   10   3   72.93(  35)    1   0  |    2   1  |   81.10   25 |   85.11   15 |   85.08   17
  17  Missouri             A  =  83.80   10   3   77.19(  12)    0   2  |    4   2  |   84.66   17 |   81.94   26 |   87.06   15
  18  Southern California  A  =  83.57    8   4   74.04(  28)    0   0  |    2   2  |   83.20   18 |   84.32   17 |   81.48   27
  19  Texas A&M            A  =  83.50    7   5   80.35(   5)    1   3  |    2   5  |   84.77   16 |   82.75   21 |   82.94   22
  20  UCLA                 A  =  83.43    9   3   77.93(   8)    0   1  |    3   2  |   81.65   24 |   82.69   22 |   87.28   14
  21  Florida              A  =  83.04    6   5   77.34(  11)    1   1  |    2   4  |   84.92   15 |   83.69   18 |   78.91   33
  22  Clemson              A  =  82.38    9   3   70.63(  51)    0   1  |    1   3  |   79.17   29 |   83.22   19 |   84.09   18
  23  Wisconsin            A  =  82.06   10   3   70.20(  55)    0   1  |    1   2  |   81.97   22 |   81.11   28 |   83.74   20
  24  Stanford             A  =  82.02    7   5   74.33(  27)    0   1  |    1   3  |   82.14   21 |   83.05   20 |   78.84   34
  25  West Virginia        A  =  81.54    7   5   77.68(  10)    1   2  |    1   4  |   80.10   27 |   82.26   23 |   80.80   29
  26  Nebraska             A  =  81.47    9   3   68.93(  62)    0   1  |    0   2  |   81.83   23 |   81.12   27 |   80.97   28
  27  Louisville           A  =  81.45    9   3   70.23(  54)    0   0  |    0   2  |   78.95   30 |   82.26   24 |   82.02   25
  28  Arizona State        A  =  81.35    9   3   72.47(  38)    0   0  |    2   2  |   80.25   26 |   80.63   29 |   83.87   19
  29  Tennessee            A  =  81.05    6   6   79.03(   7)    0   3  |    0   6  |   82.19   20 |   82.20   25 |   76.65   38
  30  Arizona              A  =  79.83   10   3   74.00(  30)    1   1  |    2   3  |   78.05   32 |   78.28   31 |   86.59   16
  31  Marshall             A  =  79.26   12   1   57.29( 129)    0   0  |    0   0  |   78.37   31 |   79.86   30 |   78.10   36
  32  Utah                 A  =  79.07    8   4   74.36(  26)    0   1  |    3   3  |   79.20   28 |   77.64   34 |   81.90   26
  33  Boise State          A  =  77.68   11   2   65.06(  72)    0   1  |    0   1  |   75.95   40 |   76.66   39 |   82.19   24
  34  Minnesota            A  =  77.40    8   4   71.13(  50)    0   2  |    1   3  |   74.91   43 |   77.62   35 |   79.45   32
  35  Notre Dame           A  =  76.97    7   5   72.26(  41)    0   0  |    1   4  |   75.48   41 |   77.99   32 |   75.63   41
  36  North Dakota State   AA =  76.81   13   1   57.78( 124)    0   0  |    0   0  |   76.40   38 |   75.36   44 |   80.47   30
  37  South Carolina       A  =  76.65    6   6   76.31(  18)    1   1  |    2   5  |   77.44   33 |   77.17   37 |   73.73   46
  38  Miami-Florida        A  =  76.36    6   6   73.73(  32)    0   0  |    0   4  |   76.01   39 |   77.72   33 |   72.98   51
  39  Washington           A  =  76.28    8   5   70.60(  52)    0   1  |    0   5  |   74.87   44 |   76.73   38 |   76.16   40
  40  Texas                A  =  76.16    6   6   76.51(  16)    0   2  |    1   5  |   76.61   35 |   75.50   43 |   76.33   39
  41  Louisiana Tech       A  =  75.49    8   5   64.39(  78)    0   1  |    0   2  |   77.06   34 |   77.32   36 |   69.32   66
  42  Memphis              A  =  75.34    9   3   57.60( 126)    0   1  |    0   2  |   75.27   42 |   75.52   42 |   74.13   44
  43  Boston College       A  =  74.93    7   5   70.02(  56)    0   0  |    1   3  |   73.35   51 |   75.82   40 |   73.98   45
  44  Iowa                 A  =  74.90    7   5   69.68(  59)    0   0  |    0   2  |   76.45   37 |   74.64   46 |   72.85   52
  45  Duke                 A  =  74.73    9   3   63.38(  81)    0   0  |    1   0  |   73.34   53 |   75.77   41 |   73.19   48
  46  Maryland             A  =  73.81    7   5   72.12(  42)    0   2  |    0   4  |   74.83   46 |   72.62   53 |   74.64   42
