32	Cal State Fullerton	cal-state-fullerton	http://www.sports-reference.com/cfb/schools/cal-state-fullerton/	1975	1992	18	205	76	127	2	.376	1	0	1	0	.000	-12.72	-7.22	0	2	W-L-T adjusted to 77-126-2 by NCAA.
33	Cal State Los Angeles	cal-state-los-angeles	http://www.sports-reference.com/cfb/schools/cal-state-los-angeles/	1969	1971	3	29	3	26	0	.103	0	0	0	0		-27.59	-9.75	0	0	
34	California	california	http://www.sports-reference.com/cfb/schools/california/	1916	2015	100	1069	550	488	31	.529	21	10	10	1	.500	5.85	4.30	14	13	W-L-T adjusted to 547-487-31 by NCAA.
35	California-Santa Barbara	california-santa-barbara	http://www.sports-reference.com/cfb/schools/california-santa-barbara/	1969	1971	3	32	11	21	0	.344	0	0	0	0		-13.35	-7.22	0	0	
36	Camp Grant	camp-grant	http://www.sports-reference.com/cfb/schools/camp-grant/	1943	1943	1	10	2	6	2	.300	0	0	0	0		8.98	14.38	0	0	
37	Carlisle	carlisle	http://www.sports-reference.com/cfb/schools/carlisle/	1896	1917	21	252	165	77	10	.675	0	0	0	0		8.12	0.81	0	0	
38	Carnegie Mellon	carnegie-mellon	http://www.sports-reference.com/cfb/schools/carnegie-mellon/	1910	1940	20	172	84	75	13	.526	1	0	1	0	.000	3.99	1.51	1	0	
39	Centenary (LA)	centenary-la	http://www.sports-reference.com/cfb/schools/centenary-la/	1930	1941	12	131	69	48	14	.580	1	0	0	1	.500	0.22	-1.79	0	0	
40	Central Florida	central-florida	http://www.sports-reference.com/cfb/schools/central-florida/	1996	2015	20	235	127	108	0	.540	7	3	4	0	.429	-1.76	-3.32	2	4	
41	Central Michigan	central-michigan	http://www.sports-reference.com/cfb/schools/central-michigan/	1975	2015	41	464	252	201	11	.555	8	3	5	0	.375	-6.40	-7.98	1	7	
42	Centre	centre	http://www.sports-reference.com/cfb/schools/centre/	1919	1935	8	74	51	20	3	.709	3	2	1	0	.667	9.14	-0.02	0	0	
43	Charlotte	charlotte	http://www.sports-reference.com/cfb/schools/charlotte/	2015	2015	1	4	2	2	0	.500						7.67	8.42	0	0	
44	Chattanooga	chattanooga	http://www.sports-reference.com/cfb/schools/chattanooga/	1909	1981	22	218	105	100	13	.511	0	0	0	0		-5.92	-6.18	0	3	
45	Chicago	chicago	http://www.sports-reference.com/cfb/schools/chicago/	1892	1939	48	466	287	147	32	.650	0	0	0	0		7.22	2.86	0	7	
46	Cincinnati	cincinnati	http://www.sports-reference.com/cfb/schools/cincinnati/	1954	2015	62	682	328	342	12	.490	13	6	7	0	.462	-2.69	-2.23	4	8	
47	Citadel	citadel	http://www.sports-reference.com/cfb/schools/citadel/	1909	1981	65	609	284	304	21	.484	1	1	0	0	1.000	-7.47	-6.72	0	1	
48	Clemson	clemson	http://www.sports-reference.com/cfb/schools/clemson/	1902	2015	114	1164	672	448	44	.596	36	18	18	0	.500	5.04	1.63	28	16	
49	Coast Guard	coast-guard	http://www.sports-reference.com/cfb/schools/coast-guard/	1944	1945	2	17	6	10	1	.382	0	0	0	0		-4.68	-1.10	0	0	
50	Coe	coe	http://www.sports-reference.com/cfb/schools/coe/	1905	1905	1	9	1	7	1	.167	0	0	0	0		-18.57	-4.35	0	0	
51	Colby	colby	http://www.sports-reference.com/cfb/schools/colby/	1904	1904	1	7	2	4	1	.357	0	0	0	0		-8.02	-1.16	0	0	
52	Colgate	colgate	http://www.sports-reference.com/cfb/schools/colgate/	1905	1981	76	670	363	266	41	.572	0	0	0	0		-0.87	-4.01	0	0	
53	Colorado	colorado	http://www.sports-reference.com/cfb/schools/colorado/	1902	2015	114	1121	631	455	35	.579	28	12	16	0	.429	4.43	1.40	18	19	
54	Colorado College	colorado-college	http://www.sports-reference.com/cfb/schools/colorado-college/	1902	1945	39	296	169	109	18	.601	0	0	0	0		-1.35	-4.95	1	2	
55	Colorado Mines	colorado-mines	http://www.sports-reference.com/cfb/schools/colorado-mines/	1902	1937	36	239	98	128	13	.437	0	0	0	0		-6.63	-4.64	0	3	
