year	school_id	school_name	wins	losses	ties	total_games
2016	721	Air Force	0	0	12	12
2016	5	Akron	0	0	12	12
2016	8	Alabama	0	0	12	12
2016	27	Appalachian St.	0	0	12	12
2016	29	Arizona	0	0	12	12
2016	28	Arizona St.	0	0	12	12
2016	31	Arkansas	0	0	12	12
2016	30	Arkansas St.	0	0	12	12
2016	725	Army West Point	0	0	12	12
2016	37	Auburn	0	0	12	12
2016	77	BYU	0	0	12	12
2016	47	Ball St.	0	0	12	12
2016	51	Baylor	0	0	12	12
2016	66	Boise St.	0	0	12	12
2016	67	Boston College	0	0	12	12
2016	71	Bowling Green	0	0	12	12
2016	86	Buffalo	0	0	12	12
2016	107	California	0	0	12	12
2016	129	Central Mich.	0	0	12	12
2016	458	Charlotte	0	0	12	12
2016	140	Cincinnati	0	0	12	12
2016	147	Clemson	0	0	12	12
2016	157	Colorado	0	0	13	13
2016	156	Colorado St.	0	0	12	12
2016	193	Duke	0	0	12	12
2016	196	East Carolina	0	0	12	12
2016	204	Eastern Mich.	0	0	12	12
2016	231	FIU	0	0	12	12
2016	229	Fla. Atlantic	0	0	12	12
2016	235	Florida	0	0	12	12
2016	234	Florida St.	0	0	12	12
2016	96	Fresno St.	0	0	12	12
2016	253	Ga. Southern	0	0	12	12
2016	257	Georgia	0	0	12	12
2016	254	Georgia St.	0	0	12	12
2016	255	Georgia Tech	0	0	12	12
2016	277	Hawaii	0	0	13	13
2016	288	Houston	0	0	12	12
2016	295	Idaho	0	0	12	12
2016	301	Illinois	0	0	12	12
2016	306	Indiana	0	0	12	12
2016	312	Iowa	0	0	12	12
2016	311	Iowa St.	0	0	12	12
2016	328	Kansas	0	0	12	12
2016	327	Kansas St.	0	0	12	12
2016	331	Kent St.	0	0	12	12
2016	334	Kentucky	0	0	12	12
2016	365	LSU	0	0	12	12
2016	671	La.-Lafayette	0	0	12	12
2016	498	La.-Monroe	0	0	13	13
2016	366	Louisiana Tech	0	0	12	12
2016	367	Louisville	0	0	12	12
2016	388	Marshall	0	0	12	12
2016	392	Maryland	0	0	12	12
2016	400	Massachusetts	0	0	12	12
2016	404	Memphis	0	0	12	12
2016	415	Miami (FL)	0	0	12	12
2016	414	Miami (OH)	0	0	12	12
2016	418	Michigan	0	0	12	12
2016	416	Michigan St.	0	0	12	12
2016	419	Middle Tenn.	0	0	12	12
2016	428	Minnesota	0	0	12	12
2016	430	Mississippi St.	0	0	12	12
2016	434	Missouri	0	0	12	12
2016	726	Navy	0	0	12	12
2016	463	Nebraska	0	0	12	12
2016	466	Nevada	0	0	12	12
2016	473	New Mexico	0	0	12	12
2016	472	New Mexico St.	0	0	12	12
2016	457	North Carolina	0	0	12	12
2016	490	North Carolina St.	0	0	12	12
2016	497	North Texas	0	0	12	12
2016	503	Northern Ill.	0	0	12	12
2016	509	Northwestern	0	0	12	12
2016	513	Notre Dame	0	0	12	12
2016	519	Ohio	0	0	12	12
2016	518	Ohio St.	0	0	12	12
2016	522	Oklahoma	0	0	12	12
2016	521	Oklahoma St.	0	0	12	12
2016	523	Old Dominion	0	0	12	12
2016	433	Ole Miss	0	0	12	12
2016	529	Oregon	0	0	12	12
2016	528	Oregon St.	0	0	12	12
2016	539	Penn St.	0	0	12	12
2016	545	Pittsburgh	0	0	12	12
2016	559	Purdue	0	0	12	12
2016	574	Rice	0	0	12	12
2016	587	Rutgers	0	0	12	12
2016	663	SMU	0	0	12	12
2016	626	San Diego St.	0	0	12	12
2016	630	San Jose St.	0	0	12	12
2016	646	South Ala.	0	0	12	12
2016	648	South Carolina	0	0	12	12
2016	651	South Fla.	0	0	12	12
2016	657	Southern California	0	0	12	12
2016	664	Southern Miss.	0	0	12	12
2016	674	Stanford	0	0	12	12
2016	688	Syracuse	0	0	12	12
2016	698	TCU	0	0	12	12
2016	690	Temple	0	0	12	12
2016	694	Tennessee	0	0	12	12
2016	703	Texas	0	0	12	12
2016	697	Texas A&M	0	0	12	12
2016	670	Texas St.	0	0	12	12
2016	700	Texas Tech	0	0	12	12
2016	709	Toledo	0	0	12	12
2016	716	Troy	0	0	12	12
2016	718	Tulane	0	0	12	12
2016	719	Tulsa	0	0	12	12
2016	128	UCF	0	0	12	12
2016	110	UCLA	0	0	12	12
2016	164	UConn	0	0	12	12
2016	465	UNLV	0	0	12	12
2016	704	UTEP	0	0	12	12
2016	706	UTSA	0	0	12	12
2016	732	Utah	0	0	12	12
2016	731	Utah St.	0	0	12	12
2016	736	Vanderbilt	0	0	12	12
2016	746	Virginia	0	0	12	12
2016	742	Virginia Tech	0	0	12	12
2016	749	Wake Forest	0	0	12	12
2016	756	Washington	0	0	12	12
2016	754	Washington St.	0	0	12	12
2016	768	West Virginia	0	0	12	12
2016	772	Western Ky.	0	0	12	12
2016	774	Western Mich.	0	0	12	12
2016	796	Wisconsin	0	0	12	12
2016	811	Wyoming	0	0	12	12
2016	2	Abilene Christian	0	0	11	11
2016	6	Alabama A&M	0	0	11	11
2016	7	Alabama St.	0	0	11	11
2016	14	Albany (NY)	0	0	11	11
2016	17	Alcorn	0	0	11	11
2016	2678	Ark.-Pine Bluff	0	0	11	11
2016	43	Austin Peay	0	0	11	11
2016	61	Bethune-Cookman	0	0	11	11
2016	80	Brown	0	0	10	10
2016	81	Bryant	0	0	11	11
