year	school_name	school_id	opponent_name	opponent_id	game_date	school_score	opponent_score	location	neutral_site_location	game_length	attendance
2016	Air Force	721	"%
                  Morgan St."	446	09/05/2015	0	0	Home	""	-	0
2016	Air Force	721	"%
                  San Jose St."	630	09/12/2015	0	0	Home	""	-	0
2016	Air Force	721	"%
                  Michigan St."	416	09/19/2015	0	0	Away	""	-	0
2016	Air Force	721	"%
                  Navy"	726	10/03/2015	0	0	Away	""	-	0
2016	Air Force	721	"%
                  Wyoming"	811	10/10/2015	0	0	Home	""	-	0
2016	Air Force	721	"%
                  Colorado St."	156	10/17/2015	0	0	Away	""	-	0
2016	Air Force	721	"%
                  Fresno St."	96	10/24/2015	0	0	Home	""	-	0
2016	Air Force	721	"%
                  Hawaii"	277	10/31/2015	0	0	Away	""	-	0
2016	Air Force	721	"%
                  Army West Point"	725	11/07/2015	0	0	Home	""	-	0
2016	Air Force	721	"%
                  Utah St."	731	11/14/2015	0	0	Home	""	-	0
2016	Air Force	721	"%
                  Boise St."	66	11/20/2015	0	0	Away	""	-	0
2016	Air Force	721	"%
                  New Mexico"	473	11/28/2015	0	0	Away	""	-	0
2016	Akron	5	"%
                  Oklahoma"	522	09/05/2015	0	0	Away	""	-	0
2016	Akron	5	"%
                  Pittsburgh"	545	09/12/2015	0	0	Home	""	-	0
2016	Akron	5	"%
                  Savannah St."	632	09/19/2015	0	0	Home	""	-	0
2016	Akron	5	"%
                  La.-Lafayette"	671	09/26/2015	0	0	Away	""	-	0
2016	Akron	5	"%
                  Ohio"	519	10/03/2015	0	0	Home	""	-	0
2016	Akron	5	"%
                  Eastern Mich."	204	10/10/2015	0	0	Away	""	-	0
2016	Akron	5	"%
                  Bowling Green"	71	10/17/2015	0	0	Away	""	-	0
2016	Akron	5	"%
                  Central Mich."	129	10/31/2015	0	0	Home	""	-	0
2016	Akron	5	"%
                  Massachusetts"	400	11/07/2015	0	0	Away	""	-	0
2016	Akron	5	"%
                  Miami (OH)"	414	11/14/2015	0	0	Away	""	-	0
2016	Akron	5	"%
                  Buffalo"	86	11/21/2015	0	0	Home	""	-	0
2016	Akron	5	"%
                  Kent St."	331	11/27/2015	0	0	Home	""	-	0
2016	Alabama	8	"%
                  Wisconsin"	796	09/05/2015	0	0	Neutral	Arlington, TX	-	0
2016	Alabama	8	"%
                  Middle Tenn."	419	09/12/2015	0	0	Home	""	-	0
2016	Alabama	8	"%
                  Ole Miss"	433	09/19/2015	0	0	Home	""	-	0
2016	Alabama	8	"%
                  La.-Monroe"	498	09/26/2015	0	0	Home	""	-	0
2016	Alabama	8	"%
                  Georgia"	257	10/03/2015	0	0	Away	""	-	0
2016	Alabama	8	"%
                  Arkansas"	31	10/10/2015	0	0	Home	""	-	0
2016	Alabama	8	"%
                  Texas A&M"	697	10/17/2015	0	0	Away	""	-	0
2016	Alabama	8	"%
                  Tennessee"	694	10/24/2015	0	0	Home	""	-	0
2016	Alabama	8	"%
                  LSU"	365	11/07/2015	0	0	Home	""	-	0
2016	Alabama	8	"%
                  Mississippi St."	430	11/14/2015	0	0	Away	""	-	0
2016	Alabama	8	"%
                  Charleston So."	48	11/21/2015	0	0	Home	""	-	0
2016	Alabama	8	"%
                  Auburn"	37	11/28/2015	0	0	Away	""	-	0
2016	Appalachian St.	27	"%
                  Howard"	290	09/05/2015	0	0	Home	""	-	0
2016	Appalachian St.	27	"%
                  Clemson"	147	09/12/2015	0	0	Away	""	-	0
2016	Appalachian St.	27	"%
                  Old Dominion"	523	09/26/2015	0	0	Away	""	-	0
2016	Appalachian St.	27	"%
                  Wyoming"	811	10/03/2015	0	0	Home	""	-	0
2016	Appalachian St.	27	"%
                  Georgia St."	254	10/10/2015	0	0	Away	""	-	0
2016	Appalachian St.	27	"%
                  La.-Monroe"	498	10/17/2015	0	0	Away	""	-	0
2016	Appalachian St.	27	"%
                  Ga. Southern"	253	10/22/2015	0	0	Home	""	-	0
2016	Appalachian St.	27	"%
                  Troy"	716	10/31/2015	0	0	Home	""	-	0
2016	Appalachian St.	27	"%
                  Arkansas St."	30	11/05/2015	0	0	Home	""	-	0
2016	Appalachian St.	27	"%
                  Idaho"	295	11/14/2015	0	0	Away	""	-	0
2016	Appalachian St.	27	"%
                  La.-Lafayette"	671	11/28/2015	0	0	Home	""	-	0
2016	Appalachian St.	27	"%
                  South Ala."	646	12/05/2015	0	0	Away	""	-	0
2016	Arizona	29	"%
                  UTSA"	706	09/03/2015	0	0	Home	""	-	0
2016	Arizona	29	"%
                  Nevada"	466	09/12/2015	0	0	Away	""	-	0
2016	Arizona	29	"%
                  Northern Ariz."	501	09/19/2015	0	0	Home	""	-	0
2016	Arizona	29	"%
                  UCLA"	110	09/26/2015	0	0	Home	""	-	0
2016	Arizona	29	"%
                  Stanford"	674	10/03/2015	0	0	Away	""	-	0
2016	Arizona	29	"%
                  Oregon St."	528	10/10/2015	0	0	Home	""	-	0
2016	Arizona	29	"%
                  Colorado"	157	10/17/2015	0	0	Away	""	-	0
2016	Arizona	29	"%
                  Washington St."	754	10/24/2015	0	0	Home	""	-	0
2016	Arizona	29	"%
                  Washington"	756	10/31/2015	0	0	Away	""	-	0
2016	Arizona	29	"%
                  Southern California"	657	11/07/2015	0	0	Away	""	-	0
2016	Arizona	29	"%
                  Utah"	732	11/14/2015	0	0	Home	""	-	0
2016	Arizona	29	"%
                  Arizona St."	28	11/21/2015	0	0	Away	""	-	0
2016	Arizona St.	28	"%
                  Texas A&M"	697	09/05/2015	0	0	Neutral	Houston, TX	-	0
2016	Arizona St.	28	"%
                  Cal Poly"	90	09/12/2015	0	0	Home	""	-	0
2016	Arizona St.	28	"%
                  New Mexico"	473	09/18/2015	0	0	Home	""	-	0
2016	Arizona St.	28	"%
                  Southern California"	657	09/26/2015	0	0	Home	""	-	0
2016	Arizona St.	28	"%
                  UCLA"	110	10/03/2015	0	0	Away	""	-	0
2016	Arizona St.	28	"%
                  Colorado"	157	10/10/2015	0	0	Home	""	-	0
2016	Arizona St.	28	"%
                  Utah"	732	10/17/2015	0	0	Away	""	-	0
2016	Arizona St.	28	"%
                  Oregon"	529	10/29/2015	0	0	Home	""	-	0
2016	Arizona St.	28	"%
                  Washington St."	754	11/07/2015	0	0	Away	""	-	0
2016	Arizona St.	28	"%
                  Washington"	756	11/14/2015	0	0	Home	""	-	0
2016	Arizona St.	28	"%
                  Arizona"	29	11/21/2015	0	0	Home	""	-	0
2016	Arizona St.	28	"%
                  California"	107	11/28/2015	0	0	Away	""	-	0
2016	Arkansas	31	"%
                  UTEP"	704	09/05/2015	0	0	Home	""	-	0
2016	Arkansas	31	"%
                  Toledo"	709	09/12/2015	0	0	Home	""	-	0
2016	Arkansas	31	"%
                  Texas Tech"	700	09/19/2015	0	0	Home	""	-	0
2016	Arkansas	31	"%
                  Texas A&M"	697	09/26/2015	0	0	Neutral	Arlington, TX	-	0
2016	Arkansas	31	"%
                  Tennessee"	694	10/03/2015	0	0	Away	""	-	0
2016	Arkansas	31	"%
                  Alabama"	8	10/10/2015	0	0	Away	""	-	0
2016	Arkansas	31	"%
                  Auburn"	37	10/24/2015	0	0	Home	""	-	0
2016	Arkansas	31	"%
                  UT Martin"	695	10/31/2015	0	0	Home	""	-	0
2016	Arkansas	31	"%
                  Ole Miss"	433	11/07/2015	0	0	Away	""	-	0
2016	Arkansas	31	"%
                  LSU"	365	11/14/2015	0	0	Away	""	-	0
2016	Arkansas	31	"%
                  Mississippi St."	430	11/21/2015	0	0	Home	""	-	0
2016	Arkansas	31	"%
                  Missouri"	434	11/27/2015	0	0	Home	""	-	0
2016	Arkansas St.	30	"%
                  Southern California"	657	09/05/2015	0	0	Away	""	-	0
2016	Arkansas St.	30	"%
                  Missouri"	434	09/12/2015	0	0	Home	""	-	0
2016	Arkansas St.	30	"%
                  Missouri St."	669	09/19/2015	0	0	Home	""	-	0
2016	Arkansas St.	30	"%
                  Toledo"	709	09/26/2015	0	0	Away	""	-	0
2016	Arkansas St.	30	"%
                  Idaho"	295	10/03/2015	0	0	Home	""	-	0
2016	Arkansas St.	30	"%
                  South Ala."	646	10/13/2015	0	0	Away	""	-	0
2016	Arkansas St.	30	"%
                  La.-Lafayette"	671	10/20/2015	0	0	Home	""	-	0
2016	Arkansas St.	30	"%
                  Georgia St."	254	10/31/2015	0	0	Home	""	-	0
2016	Arkansas St.	30	"%
                  Appalachian St."	27	11/05/2015	0	0	Away	""	-	0
2016	Arkansas St.	30	"%
                  La.-Monroe"	498	11/14/2015	0	0	Away	""	-	0
2016	Arkansas St.	30	"%
                  New Mexico St."	472	11/28/2015	0	0	Away	""	-	0
2016	Arkansas St.	30	"%
                  Texas St."	670	12/05/2015	0	0	Home	""	-	0
2016	Army West Point	725	"%
                  Fordham"	236	09/04/2015	0	0	Home	""	-	0
2016	Army West Point	725	"%
                  UConn"	164	09/12/2015	0	0	Away	""	-	0
2016	Army West Point	725	"%
                  Wake Forest"	749	09/19/2015	0	0	Home	""	-	0
2016	Army West Point	725	"%
                  Eastern Mich."	204	09/26/2015	0	0	Away	""	-	0
2016	Army West Point	725	"%
                  Penn St."	539	10/03/2015	0	0	Away	""	-	0
2016	Army West Point	725	"%
                  Duke"	193	10/10/2015	0	0	Home	""	-	0
2016	Army West Point	725	"%
                  Bucknell"	83	10/17/2015	0	0	Home	""	-	0
2016	Army West Point	725	"%
                  Rice"	574	10/24/2015	0	0	Away	""	-	0
2016	Army West Point	725	"%
                  Air Force"	721	11/07/2015	0	0	Away	""	-	0
2016	Army West Point	725	"%
                  Tulane"	718	11/14/2015	0	0	Home	""	-	0
2016	Army West Point	725	"%
                  Rutgers"	587	11/21/2015	0	0	Home	""	-	0
