sport_code	year
MFB	2018
MFB	2017
MFB	2016
MFB	2015
MFB	2014
MFB	2013
MFB	2012
MFB	2011
MFB	2010
MFB	2009
MFB	2008
MFB	2007
MFB	2006
MFB	2005
MFB	2004
MFB	2003
MFB	2002
MFB	2001
MFB	2000
MFB	1999
MFB	1998
MFB	1997
MFB	1996
MFB	1995
MFB	1994
MFB	1993
MFB	1992
MFB	1991
MFB	1990
MFB	1989
MFB	1988
MFB	1987
MFB	1986
MFB	1985
MFB	1984
MFB	1983
MFB	1982
MFB	1981
MFB	1980
MFB	1979
MFB	1978
MFB	1977
MFB	1976
MFB	1975
MFB	1974
MFB	1973
MFB	1972
MFB	1971
MFB	1970
MFB	1969
MFB	1968
MFB	1967
MFB	1966
MFB	1965
MFB	1964
MFB	1963
MFB	1962
MFB	1961
MFB	1960
MFB	1959
MFB	1958
MFB	1957
MFB	1956
MFB	1955
MFB	1954
MFB	1953
MFB	1952
MFB	1951
MFB	1950
MFB	1949
MFB	1948
MFB	1947
MFB	1946
MFB	1945
MFB	1944
MFB	1943
MFB	1942
MFB	1941
MFB	1940
MFB	1939
MFB	1938
MFB	1937
MFB	1936
MFB	1935
MFB	1934
MFB	1933
MFB	1932
MFB	1931
MFB	1930
MFB	1929
MFB	1928
MFB	1927
MFB	1926
MFB	1925
MFB	1924
MFB	1923
MFB	1922
MFB	1921
MFB	1920
MFB	1919
MFB	1918
MFB	1917
MFB	1916
MFB	1915
MFB	1914
MFB	1913
MFB	1912
MFB	1911
MFB	1910
MFB	1909
MFB	1908
MFB	1907
MFB	1906
MFB	1905
MFB	1904
MFB	1903
MFB	1902
MFB	1901
MFB	1900
MFB	1899
MFB	1898
MFB	1897
MFB	1896
MFB	1895
MFB	1894
MFB	1893
MFB	1892
MFB	1891
MFB	1890
MFB	1889
MFB	1888
MFB	1887
MFB	1886
MFB	1885
MFB	1884
MFB	1883
MFB	1882
MFB	1881
MFB	1880
MFB	1879
MFB	1878
MFB	1877
MFB	1876
MFB	1875
MFB	1874
MFB	1873
MFB	1872
MFB	1871
MFB	1870
MFB	969
MFB	939
MFB	893
MFB	159
MFB	10
