year	year_id	team_id	team_name	game_date	game_string	opponent_id	opponent_name	opponent_url	neutral_site	neutral_location	home_game	score_string	team_won	score	team_score	opponent_score	overtime	overtime_periods	game_id	game_url
2016	12240	929	Adams St.	09/03/2015	@ Tex. A&M-Commerce	199	Tex. A&M-Commerce	http://stats.ncaa.org/team/index/12240?org_id=199	false		false	L 17 - 48	false	17 - 48	17	48	false		adams-st-tex-am-commerce#boxscore	http://www.ncaa.com/game/football/d2/2015/09/03/adams-st-tex-am-commerce#boxscore
2016	12240	929	Adams St.	09/12/2015	Eastern N.M.	206	Eastern N.M.	http://stats.ncaa.org/team/index/12240?org_id=206	false		true	L 30 - 44	false	30 - 44	30	44	false		eastern-nm-adams-st#boxscore	http://www.ncaa.com/game/football/d2/2015/09/12/eastern-nm-adams-st#boxscore
2016	12240	929	Adams St.	09/19/2015	@ Colorado Mesa	11416	Colorado Mesa	http://stats.ncaa.org/team/index/12240?org_id=11416	false		false	L 16 - 55	false	16 - 55	16	55	false		adams-st-colorado-mesa#boxscore	http://www.ncaa.com/game/football/d2/2015/09/19/adams-st-colorado-mesa#boxscore
2016	12240	929	Adams St.	09/26/2015	Western St.		Western St.		false		true	-								
2016	12240	929	Adams St.	10/03/2015	Colorado St.-Pueblo		Colorado St.-Pueblo		false		true	-								
2016	12240	929	Adams St.	10/10/2015	@ Chadron St.		Chadron St.		false		false	-								
2016	12240	929	Adams St.	10/17/2015	Black Hills St.		Black Hills St.		false		true	-								
2016	12240	929	Adams St.	10/24/2015	@ N.M. Highlands		N.M. Highlands		false		false	-								
2016	12240	929	Adams St.	10/31/2015	Western N.M.		Western N.M.		false		true	-								
2016	12240	929	Adams St.	11/07/2015	@ Fort Lewis		Fort Lewis		false		false	-								
2016	12240	929	Adams St.	11/14/2015	Colorado Mines		Colorado Mines		false		true	-								
