2016	12240	29	Arizona	-	TEAM	-	-	-	-	1	-4	 	""	-4	2	0.00	 	 	 	 	""	 	""	0.00
2016	12240	29	Arizona	-	Totals	-	-	-	-	1	163	1,491	229	392	74	0.00	8	12	5	8	8.00	76	76.00	392.00
2016	12240	29	Arizona	-	Opponent Totals	-	-	-	-	1	193	2,109	332	525	95	5.53	10	16	3	10	10.00	114	114.00	525.00
2016	12240	47	Ball St.	-	TEAM	-	-	-	-	1	-2	 	0	-2	2	0.00	 	 	 	 	""	 	""	0.00
2016	12240	47	Ball St.	-	Totals	-	-	-	-	1	229	1,947	338	567	95	0.00	11	21	1	6	6.00	55	55.00	567.00
2016	12240	47	Ball St.	-	Opponent Totals	-	-	-	-	1	103	1,653	444	547	78	7.01	3	18	1	8	8.00	47	47.00	547.00
2016	12240	51	Baylor	-	TEAM	-	-	-	-	1	""	 	""	0	 	""	 	 	 	 	""	 	""	0.00
2016	12240	51	Baylor	-	Totals	-	-	-	-	1	300	1,328	423	723	69	0.00	14	12	1	13	13.00	105	105.00	723.00
2016	12240	51	Baylor	-	Opponent Totals	-	-	-	-	1	203	2,272	166	369	78	4.73	13	7	2	5	5.00	40	40.00	369.00
2016	12240	129	Central Mich.	-	Totals	-	-	-	-	1	78	2,012	265	343	70	0.00	5	12	1	6	6.00	30	30.00	343.00
2016	12240	129	Central Mich.	-	Opponent Totals	-	-	-	-	1	153	1,588	266	419	67	6.25	6	13	 	4	4.00	35	35.00	419.00
2016	12240	458	Charlotte	-	TEAM	-	-	-	-	1	-14	 	""	-14	2	0.00	 	 	 	 	""	 	""	0.00
2016	12240	458	Charlotte	-	Totals	-	-	-	-	1	164	2,037	244	408	86	0.00	11	12	1	4	4.00	30	30.00	408.00
2016	12240	458	Charlotte	-	Opponent Totals	-	-	-	-	1	93	1,563	299	392	69	5.68	6	9	1	10	10.00	79	79.00	392.00
2016	12240	157	Colorado	-	TEAM	-	-	-	-	1	""	 	""	0	 	""	 	 	 	 	""	 	""	0.00
2016	12240	157	Colorado	-	Totals	-	-	-	-	1	215	1,996	156	371	93	0.00	14	8	1	5	5.00	70	70.00	371.00
2016	12240	157	Colorado	-	Opponent Totals	-	-	-	-	1	100	1,604	202	302	72	4.19	4	8	2	9	9.00	50	50.00	302.00
2016	12240	193	Duke	-	TEAM	-	-	-	-	1	-1	 	""	-1	1	0.00	 	 	 	 	""	 	""	0.00
2016	12240	193	Duke	-	Totals	-	-	-	-	1	206	2,161	324	530	93	0.00	11	16	2	8	8.00	78	78.00	530.00
2016	12240	193	Duke	-	Opponent Totals	-	-	-	-	1	25	1,439	246	271	65	4.17	3	8	3	5	5.00	25	25.00	271.00
2016	12240	231	FIU	-	TEAM	-	-	-	-	1	-3	 	""	-3	3	0.00	 	 	 	 	""	 	""	0.00
2016	12240	231	FIU	-	Totals	-	-	-	-	1	131	1,797	260	391	69	0.00	6	11	 	7	7.00	45	45.00	391.00
2016	12240	231	FIU	-	Opponent Totals	-	-	-	-	1	46	1,803	249	295	64	4.61	5	12	1	3	3.00	20	20.00	295.00
2016	12240	96	Fresno St.	-	TEAM	-	-	-	-	1	""	 	""	0	 	""	 	 	 	 	""	 	""	0.00
2016	12240	96	Fresno St.	-	Totals	-	-	-	-	1	225	1,564	217	442	84	0.00	14	10	2	2	2.00	20	20.00	442.00
2016	12240	96	Fresno St.	-	Opponent Totals	-	-	-	-	1	34	2,036	213	247	74	3.34	1	13	1	6	6.00	40	40.00	247.00
2016	12240	254	Georgia St.	-	TEAM	-	-	-	-	1	-6	 	""	-6	1	0.00	 	 	 	 	""	 	""	0.00
2016	12240	254	Georgia St.	-	Totals	-	-	-	-	1	93	1,563	299	392	69	0.00	6	9	1	10	10.00	79	79.00	392.00
2016	12240	254	Georgia St.	-	Opponent Totals	-	-	-	-	1	164	2,037	244	408	86	4.74	11	12	1	4	4.00	30	30.00	408.00
2016	12240	255	Georgia Tech	-	TEAM	-	-	-	-	1	""	 	""	0	 	""	 	 	 	 	""	 	""	0.00
2016	12240	255	Georgia Tech	-	Totals	-	-	-	-	1	476	1,685	77	553	57	0.00	20	4	2	 	0.00	 	0.00	553.00
2016	12240	255	Georgia Tech	-	Opponent Totals	-	-	-	-	1	166	1,915	106	272	67	4.06	9	4	 	10	10.00	82	82.00	272.00
2016	12240	277	Hawaii	-	TEAM	-	-	-	-	1	""	 	""	0	 	""	 	 	 	 	""	 	""	0.00
2016	12240	277	Hawaii	-	Totals	-	-	-	-	1	100	1,604	202	302	72	0.00	4	8	2	9	9.00	50	50.00	302.00
2016	12240	277	Hawaii	-	Opponent Totals	-	-	-	-	1	215	1,996	156	371	93	3.99	14	8	1	5	5.00	70	70.00	371.00
2016	12240	295	Idaho	-	Totals	-	-	-	-	1	106	1,837	285	391	76	0.00	4	18	3	3	3.00	31	31.00	391.00
2016	12240	295	Idaho	-	Opponent Totals	-	-	-	-	1	205	1,763	284	489	63	7.76	11	10	2	10	10.00	92	92.00	489.00
2016	12240	418	Michigan	-	Totals	-	-	-	-	1	76	1,841	279	355	72	0.00	3	15	2	3	3.00	25	25.00	355.00
2016	12240	418	Michigan	-	Opponent Totals	-	-	-	-	1	129	1,759	208	337	70	4.81	9	10	1	6	6.00	55	55.00	337.00
2016	12240	416	Michigan St.	-	TEAM	-	-	-	-	1	-2	 	""	-2	1	0.00	 	 	 	 	""	 	""	0.00
2016	12240	416	Michigan St.	-	Totals	-	-	-	-	1	196	1,699	256	452	71	0.00	11	13	2	3	3.00	25	25.00	452.00
