nfc,afc,num,den
Atlanta Falcons,New England Patriots,18,1
Atlanta Falcons,Pittsburgh Steelers,40,1
Atlanta Falcons,Jacksonville Jaguars,100,1 
Atlanta Falcons,Kansas City Chiefs,100,1
Atlanta Falcons,Buffalo Bills,450,1
Atlanta Falcons,Tennessee Titans,450,1
Carolina Panthers,New England Patriots,14,1
Carolina Panthers,Pittsburgh Steelers,30,1
Carolina Panthers,Jacksonville Jaguars,80,1
Carolina Panthers,Kansas City Chiefs,80,1
Carolina Panthers,Buffalo Bills,370,1
Carolina Panthers,Tennessee Titans,370,1
Los Angeles Rams,New England Patriots,15,2
Los Angeles Rams,Pittsburgh Steelers,17,1
Los Angeles Rams,Jacksonville Jaguars,45,1
Los Angeles Rams,Kansas City Chiefs,45,1
Los Angeles Rams,Buffalo Bills,200,1
Los Angeles Rams,Tennessee Titans,200,1
Minnesota Vikings,New England Patriots,4,1
Minnesota Vikings,Pittsburgh Steelers,9,1
Minnesota Vikings,Jacksonville Jaguars,25,1
Minnesota Vikings,Kansas City Chiefs,25,1
Minnesota Vikings,Buffalo Bills,110,1 
Minnesota Vikings,Tennessee Titans,110,1
New Orleans Saints,New England Patriots,15,2
New Orleans Saints,Pittsburgh Steelers,17,1
New Orleans Saints,Jacksonville Jaguars,45,1
New Orleans Saints,Kansas City Chiefs,45,1
New Orleans Saints,Buffalo Bills,200,1
New Orleans Saints,Tennessee Titans,200,1
Philadelphia Eagles,New England Patriots,9,1
Philadelphia Eagles,Jacksonville Jaguars,50,1
Philadelphia Eagles,Kansas City Chiefs,50,1
Philadelphia Eagles,Pittsburgh Steelers,20,1
Philadelphia Eagles,Buffalo Bills,235,1
Philadelphia Eagles,Tennessee Titans,235,1
