sport_code	year	division
MFB	2016	2
MFB	2016	3
MFB	2016	11
MFB	2016	12
MFB	2015	2
MFB	2015	3
MFB	2015	11
MFB	2015	12
MFB	2014	2
MFB	2014	3
MFB	2014	11
MFB	2014	12
